time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
10.88,43.52,43.5122208363745,43.3321931901859,4,4.00760229406631,3.47906448958801,0,-1.93067714593377e-13,-4.83855346894984e-15,0,-1.10619652064368e-11,-2.77228692719209e-13,1,1,553.501223132715,553.493871793782,553.501223132715,553.493871793782,553.501223132715,553.493871793782,553.501223132715,553.493871793782
10.89,43.56,43.5522968593152,43.3722726179238,4,4.00753656404514,3.47900556970547,0,-1.9327400790914e-13,-4.84305291332448e-15,0,-1.10737849427718e-11,-2.7748649189203e-13,1,1,553.502640511809,553.495342061568,553.502640511809,553.495342061568,553.502640511809,553.495342061568,553.502640511809,553.495342061568
10.9,43.6,43.5923722249556,43.4123513618237,4,4.00747135110091,3.47894711171105,0,-1.93480301224903e-13,-4.84737237992414e-15,0,-1.10856046791068e-11,-2.77733979097938e-13,1,1,553.504047657206,553.496801751617,553.504047657206,553.496801751617,553.504047657206,553.496801751617,553.504047657206,553.496801751617
10.91,43.64,43.6324469384667,43.4524294272454,4,4.0074066515123,3.47888911229267,0,-1.93686594540666e-13,-4.84938743965253e-15,0,-1.10974244154418e-11,-2.77849433515842e-13,1,1,553.50544463577,553.498250932734,553.50544463577,553.498250932734,553.50544463577,553.498250932734,553.50544463577,553.498250932734
10.92,43.68,43.6725210049818,43.4925068195104,4,4.00734246158222,3.47883156815967,0,-1.9389066741038e-13,-4.84812445468086e-15,0,-1.11091169295895e-11,-2.77777069807377e-13,1,1,553.506831513988,553.499689673342,553.506831513988,553.499689673341,553.506831513988,553.499689673341,553.506831513988,553.499689673341
10.93,43.72,43.7125944295976,43.5325835439021,4,4.00727877763763,3.47877447604273,0,-1.9409140961102e-13,-4.84371454679714e-15,0,-1.11206186104564e-11,-2.77524400697598e-13,1,1,553.508208357966,553.501118041471,553.508208357966,553.501118041471,553.508208357966,553.501118041471,553.508208357966,553.501118041471
10.94,43.76,43.752667217374,43.5726596056658,4,4.00721559602944,3.47871783269373,0,-1.94288821142587e-13,-4.83734940702149e-15,0,-1.11319294580423e-11,-2.77159705052443e-13,1,1,553.509575233434,553.50253610477,553.509575233434,553.50253610477,553.509575233434,553.50253610477,553.509575233434,553.50253610477
10.95,43.8,43.7927393733343,43.6127350100093,4,4.00715291313236,3.47866163488564,0,-1.94484012228104e-13,-4.82910724462958e-15,0,-1.1143113083441e-11,-2.76687463933325e-13,1,1,553.510932205749,553.503943930503,553.510932205749,553.503943930503,553.510932205749,553.503943930503,553.510932205749,553.503943930503
10.96,43.84,43.8328109024656,43.6528097621027,4,4.00709072534475,3.47860587941242,0,-1.94676982867571e-13,-4.82012895462971e-15,0,-1.11541694866525e-11,-2.76173045809088e-13,1,1,553.512279339889,553.505341585552,553.512279339889,553.505341585552,553.512279339889,553.505341585552,553.512279339889,553.505341585552
10.97,43.88,43.872881809719,43.6928838670792,4,4.00702902908853,3.47855056308886,0,-1.94868843284014e-13,-4.80937816802256e-15,0,-1.11651622787703e-11,-2.75557071110052e-13,1,1,553.513616700466,553.506729136419,553.513616700466,553.506729136419,553.513616700466,553.506729136419,553.513616700466,553.506729136419
