time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,pitch_estimation_error_deg,accel_correction_weight,accel_consistency_metric,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
13.43,20,19.8344653873585,19.8413888220198,0,-0.0502998275149646,-0.0348692335522543,-0.174532925199433,-0.211841039681651,-0.174870031761981,-10,-12.137597501422,-10.0193147832802,-2.11828271814182,0,1.76584987762624,1,1,562.080645925732,562.178448609167,562.080645925732,562.178448609167,562.080805496192,562.178611315943,562.080805496192,562.178611315943
13.44,20,19.8339623890833,19.8408447927117,0,-0.0495331853790109,-0.0341814356097309,-0.174532925199433,-0.211839718775234,-0.174868716009776,-10,-12.1375218190592,-10.019239396232,-2.11828242282724,0,1.76565658822179,1,1,562.061642038981,562.15888807248,562.061642038981,562.15888807248,562.06180099368,562.159050151993,562.06180099368,562.159050151993
13.45,20,19.8334670572295,19.8403087765106,0,-0.0487733563062025,-0.0334996614032282,-0.174532925199433,-0.21183840302303,-0.174867405391732,-10,-12.137446432011,-10.0191643033494,-2.11828212866154,0,1.76546464117171,1,1,562.04274862289,562.13943886578,562.04274862289,562.13943886578,562.042906964106,562.13960032033,562.042906964106,562.13960032033
13.46,20,19.8329793236665,19.8397807033894,0,-0.0480203010766609,-0.032823876851449,-0.174532925199433,-0.211837092404985,-0.174866099887871,-10,-12.1373713391285,-10.0190895034881,-2.11828183564041,0,1.76527403021385,1,1,562.023965478514,562.120100817202,562.023965478514,562.120100817202,562.024123208518,562.120261649085,562.024123208518,562.120261649085
13.47,20,19.8324991206557,19.8392605037172,0,-0.047273980536414,-0.0321540479190205,-0.174532925199433,-0.211835786901124,-0.174864799478292,-10,-12.1372965392671,-10.0190149955076,-2.11828154375953,0,1.76508474907032,1,1,562.005292401991,562.100873749464,562.005292401991,562.100873749464,562.005449523052,562.101033960972,562.005449523052,562.101033960972
13.48,20,19.8320263808503,19.8387481082583,0,-0.046534355599231,-0.0314901406185585,-0.174532925199433,-0.211834486491545,-0.17486350414317,-10,-12.1372220312866,-10.018940778272,-2.11828125301459,0,1.7648967914487,1,1,561.986729184643,562.08175747997,561.986729184643,562.08175747997,561.986885699021,562.081917073388,561.986885699021,562.081917073388
13.49,20,19.8315610372944,19.8382434481718,0,-0.0458013872484331,-0.0308321210126876,-0.174532925199433,-0.211833191156423,-0.174862213862752,-10,-12.137147814051,-10.0188668506497,-2.11828096340133,0,1.76471015104316,1,1,561.968275613061,562.062751820905,561.968275613061,562.062751820905,561.968431523013,562.062910798515,561.968431523013,562.062910798515
13.5,20,19.8311030234219,19.8377464550111,0,-0.0450750365386559,-0.0301799552160203,-0.174532925199433,-0.211831900876005,-0.174860928617363,-10,-12.1370738864287,-10.0187932115133,-2.11828067491544,0,1.76452482153564,1,1,561.949931469203,562.043856579336,561.949931469203,562.043856579336,561.950086776978,562.044014943414,561.950086776978,562.044014943414
13.51,20,19.8306522730565,19.8372570607228,0,-0.0443552645975942,-0.0295336093970953,-0.174532925199433,-0.211830615630617,-0.174859648387401,-10,-12.1370002472923,-10.0187198597396,-2.11828038755267,0,1.76434079659694,1,1,561.931696530478,562.025071557309,561.931696530479,562.025071557309,561.931851238322,562.025229310127,561.931851238322,562.025229310127
13.52,20,19.8302087204105,19.8367751976465,0,-0.0436420326276967,-0.0288930497802745,-0.174532925199433,-0.211829335400654,-0.174858373153337,-10,-12.1369268955186,-10.0186467942099,-2.11828010130876,0,1.76415806988778,1,1,561.913570569843,562.006396551943,561.913570569843,562.006396551943,561.913724679993,562.006553695766,561.913724679993,562.006553695766
13.53,20,19.8297723000842,19.8363007985135,0,-0.0429353019078416,-0.0282582426475986,-0.174532925199433,-0.211828060166591,-0.174857102895719,-10,-12.1368538299889,-10.0185740138094,-2.11827981617946,0,1.76397663505989,1,1,561.895553355881,561.987831355523,561.895553355882,561.987831355523,561.895706870571,561.987987892612,561.895706870571,561.987987892612
13.54,20,19.8293429470651,19.8358337964471,0,-0.0422350337949682,-0.027629154340605,-0.174532925199433,-0.211826789908972,-0.174855837595165,-10,-12.1367810495885,-10.0185015174279,-2.11827953216054,0,1.76379648575703,1,1,561.877644652895,561.969375755595,561.877644652895,561.969375755595,561.877797574349,561.969531688203,561.877797574349,561.969531688203
13.55,20,19.8289205967272,19.8353741249606,0,-0.0415411897256834,-0.0270057512621027,-0.174532925199433,-0.211825524608419,-0.174854577232371,-10,-12.1367085532069,-10.0184293039592,-2.11827924924777,0,1.76361761561599,1,1,561.859844220987,561.951029535055,561.859844220987,561.951029535055,561.859996551427,561.951184865433,561.859996551427,561.951184865433
13.56,20,19.8285051848299,19.8349217179575,0,-0.0408537312178352,-0.02638799987791,-0.174532925199433,-0.211824264245625,-0.174853321788104,-10,-12.1366363397382,-10.0183573723013,-2.11827896743694,0,1.7634400182676,1,1,561.842151816148,561.932792472241,561.842151816148,561.932792472241,561.842303557787,561.932947202632,561.842303557787,561.932947202632
13.57,20,19.8280966475178,19.8344765097305,0,-0.0401726198720498,-0.0257758667185511,-0.174532925199433,-0.211823008801357,-0.174852071243205,-10,-12.1365644080803,-10.0182857213564,-2.11827868672384,0,1.76326368733766,1,1,561.824567190334,561.914664341023,561.824567190334,561.914664341023,561.82471834538,561.914818473663,561.824718345379,561.914818473663
13.58,20,19.827694921319,19.8340384349603,0,-0.0394978173732465,-0.025169318380916,-0.174532925199433,-0.211821758256458,-0.174850825578587,-10,-12.1364927571354,-10.0182143500311,-2.1182784071043,0,1.76308861644788,1,1,561.807090091552,561.896644910885,561.807090091552,561.896644910885,561.807240662205,561.896798448006,561.807240662205,561.896798448006
13.59,20,19.8272999431453,19.8336074287154,0,-0.038829285492114,-0.0245683215298808,-0.174532925199433,-0.21182051259184,-0.174849584775238,-10,-12.1364213858101,-10.018143257236,-2.11827812857414,0,1.76291479921682,1,1,561.789720263936,561.878733947018,561.789720263936,561.878733947018,561.789870252393,561.878886890846,561.789870252392,561.878886890846
13.6,20,19.8269116502904,19.8331834264507,0,-0.0381669860865623,-0.0239728428998909,-0.174532925199433,-0.211819271788491,-0.174848348814216,-10,-12.136350293015,-10.0180724418858,-2.11827785112919,0,1.76274222926077,1,1,561.772457447831,561.860931210402,561.772457447831,561.860931210402,561.772606856278,561.861083563155,561.772606856278,561.861083563155
13.61,20,19.8265299804295,19.8327663640073,0,-0.0375108811031413,-0.0233828492965055,-0.174532925199433,-0.211818035827469,-0.174847117676654,-10,-12.1362794776648,-10.0180019028995,-2.1182775747653,0,1.76257090019458,1,1,561.755301379864,561.843236457888,561.755301379864,561.843236457888,561.755450210484,561.84338822178,561.755450210484,561.84338822178
13.62,20,19.8261548716185,19.8323561776109,0,-0.0368609325784321,-0.0227983075979083,-0.174532925199433,-0.211816804689907,-0.174845891343756,-10,-12.1362089386785,-10.0179316392002,-2.11827729947834,0,1.76240080563256,1,1,561.738251793026,561.825649442283,561.738251793026,561.825649442283,561.738400047993,561.825800619521,561.738400047993,561.825800619521
